Nome do repositório,Link
Refile,https://github.com/refile/refile/
Refile-memory,https://github.com/refile/refile-memory/
Boostnote,https://github.com/BoostIO/Boostnote/
Mail,https://github.com/mikel/mail/
Flutter,https://github.com/flutter/flutter/
Mercado-pago-plugin-flutter,https://github.com/hjJunior/Mercado-pago-plugin-flutter
Reactjs.org,https://github.com/reactjs/reactjs.org/
Expo,https://github.com/expo/expo/
Value-app,https://github.com/niamurrell/value-app/
Jquery-mask-plugin,https://github.com/igorescobar/jQuery-Mask-Plugin/
Jest,https://github.com/facebook/jest/
Rspec-core,https://github.com/rspec/rspec-core/
Gatsby,https://github.com/gatsbyjs/gatsby/
Honeybadger-react,https://github.com/honeybadger-io/honeybadger-react/
Ui,https://github.com/rancher/ui/
Spaceship-prompt,https://github.com/denysdovhan/spaceship-prompt/
Tailwindcss-rails,https://github.com/IcaliaLabs/tailwindcss-rails/
Jaguar_orm,https://github.com/Jaguar-dart/jaguar_orm/
Flutter_fab_dialer,https://github.com/Leondev7/flutter_fab_dialer/
Rubygems.org,https://github.com/rubygems/rubygems.org/
Sequelize,https://github.com/sequelize/sequelize/
Create-react-app,https://github.com/facebook/create-react-app/
React-native-calendario,https://github.com/maggialejandro/react-native-calendario/
Client-ruby,https://github.com/OmniTrade/client-ruby/
Adirc,https://gitlab.com/rotaract/adirc
Capybara,https://github.com/teamcapybara/capybara/
Heavens_door,https://github.com/amatsuda/heavens_door/
Openfoodnetwork,https://github.com/openfoodfoundation/openfoodnetwork/
Codetriage,https://github.com/codetriage/codetriage/
Osem,https://github.com/openSUSE/osem/
Date-fns,https://github.com/date-fns/date-fns/
Pt-br.reactjs.org,https://github.com/reactjs/pt-BR.reactjs.org/
Bulma,https://github.com/jgthms/bulma/
Chopper,https://github.com/lejard-h/chopper/
Data_validator,https://github.com/nishantsubedi/data_validator/
Client-dart,https://github.com/OmniTrade/client-dart/
Material-ui,https://github.com/mui-org/material-ui/
Opencollective-frontend,https://github.com/opencollective/opencollective-frontend/
Sentry-docs,https://github.com/getsentry/sentry-docs/
Hiraishin,https://github.com/LuanGB/hiraishin/
Cm42-central,https://github.com/Codeminer42/cm42-central/
Ruby-marks,https://github.com/ruby-marks/ruby-marks/
I18n_alchemy,https://github.com/carlosantoniodasilva/i18n_alchemy/
Sinatra,https://github.com/sinatra/sinatra/
Elixir,https://github.com/elixir-lang/elixir/
Pluralizador.js,https://github.com/theuves/pluralizador.js/
Dicio,https://github.com/theuves/dicio/
How-to-contribute-to-open-source,https://github.com/freeCodeCamp/how-to-contribute-to-open-source/
Bowser,https://github.com/lancedikson/bowser/
Vuejs.org,https://github.com/vuejs/vuejs.org/
Idle-developer,https://github.com/Kutomore/idle-developer/
Ip_externo,https://github.com/mateuspenha/ip_externo/
Draper,https://github.com/drapergem/draper/
Structure,https://github.com/talyssonoc/structure/
Activerecord-sqlserver-adapter,https://github.com/rails-sqlserver/activerecord-sqlserver-adapter/
Adirc,https://gitlab.com/rotaract/adirc/
Faker,https://github.com/stympy/faker/
Passwordless,https://github.com/mikker/passwordless/
Devise,https://github.com/plataformatec/devise/
Bayesjs,https://github.com/fhelwanger/bayesjs/
Dev.to,https://github.com/thepracticaldev/dev.to/
Consul,https://github.com/consul/consul/
React-drag-listview,https://github.com/raisezhang/react-drag-listview/
Client-jvm,https://github.com/OmniTrade/client-jvm/
React-navigation-drawer,https://github.com/react-navigation/react-navigation-drawer/
Rails,https://github.com/rails/rails/
Applied-conservation,https://github.com/rubyforgood/applied-conservation/
Discord-np,https://github.com/vsTerminus/Discord-NP/
Android-components,https://github.com/mozilla-mobile/android-components/
Lockbox-android,https://github.com/mozilla-lockbox/lockbox-android/
Ifme,https://github.com/ifmeorg/ifme/
30_seconds_of_knowledge,https://github.com/petrovicstefanrs/30_seconds_of_knowledge/
